ID,gender,ever_married,age,graduated,profession,work_experience,spending_score,family_size,product_category,customer_segment
462809,male,no,22,no,healthcare,1.0,low,4,electric,suv
466315,female,yes,67,yes,engineer,1.0,low,1,sports,truck
461735,male,yes,67,yes,lawyer,0.0,high,2,sports,truck
461319,male,yes,56,no,artist,0.0,average,2,sports,hatchback
460156,male,no,32,yes,healthcare,1.0,low,3,sports,hatchback
464347,female,no,33,yes,healthcare,1.0,low,3,sports,suv
465015,female,yes,61,yes,engineer,0.0,low,3,commercial,suv
465176,female,yes,55,yes,artist,1.0,average,4,sports,hatchback
464041,female,no,26,yes,engineer,1.0,low,3,sports,sedan
464942,male,no,19,no,healthcare,4.0,low,4,electric,suv
460849,female,yes,58,no,doctor,0.0,low,1,luxury,truck
460563,female,no,41,no,healthcare,1.0,low,2,economy,hatchback
466865,female,no,32,no,homemaker,9.0,low,5,luxury,suv
461644,male,no,31,no,healthcare,1.0,low,6,sports,truck
466772,male,yes,58,yes,entertainment,1.0,average,4,sports,truck
464291,female,yes,79,yes,artist,0.0,high,1,sports,hatchback
466084,male,yes,49,yes,homemaker,12.0,low,1,luxury,sedan
459675,female,no,18,no,healthcare,3.0,low,4,sports,suv
465602,male,yes,33,yes,artist,13.0,low,2,luxury,sedan
459168,female,no,36,yes,artist,5.0,low,2,sports,truck
465083,male,yes,56,no,artist,1.0,average,3,sports,hatchback
467604,male,no,31,no,healthcare,9.0,low,8,electric,sedan
459717,male,yes,49,yes,artist,1.0,average,3,sports,hatchback
465882,male,no,35,yes,artist,0.0,low,1,sports,truck
461996,female,no,35,no,artist,5.0,low,4,sports,hatchback
463331,female,yes,45,yes,artist,0.0,low,3,sports,hatchback
462216,female,yes,42,no,doctor,1.0,low,2,electric,sedan
462454,male,no,19,no,healthcare,1.0,low,3,mid-range,suv
459861,female,yes,83,no,lawyer,1.0,high,2,sports,suv
467917,female,no,27,yes,healthcare,3.0,low,4,economy,suv
465572,male,no,32,no,doctor,5.0,low,1,electric,suv
460593,female,yes,28,no,healthcare,1.0,average,5,luxury,suv
465891,female,yes,28,yes,artist,8.0,low,2,sports,sedan
462044,female,no,47,yes,artist,4.0,low,1,sports,truck
465686,female,no,22,no,healthcare,0.0,low,2,sports,suv
464590,female,no,27,yes,artist,14.0,low,3,sports,sedan
466152,male,yes,40,no,engineer,8.0,low,1,sports,sedan
465729,male,yes,41,yes,artist,0.0,average,4,electric,truck
462442,male,no,19,no,healthcare,0.0,low,4,sports,suv
464191,female,no,45,yes,engineer,1.0,low,1,sports,sedan
462078,female,yes,61,no,artist,1.0,average,2,mid-range,truck
467873,female,yes,36,yes,artist,1.0,average,2,sports,hatchback
461270,male,yes,40,yes,artist,1.0,low,1,luxury,sedan
462960,female,yes,57,yes,entertainment,0.0,average,2,sports,hatchback
464961,male,yes,76,no,marketing,1.0,low,1,electric,sedan
462110,male,yes,32,yes,artist,14.0,average,2,sports,truck
465769,male,no,25,yes,healthcare,9.0,low,4,sports,suv
465269,female,yes,45,yes,artist,1.0,average,3,luxury,hatchback
461891,male,yes,48,yes,artist,0.0,average,2,sports,hatchback
466935,male,yes,55,yes,artist,9.0,average,2,economy,hatchback
464091,male,yes,74,yes,lawyer,0.0,high,3,sports,suv
464535,male,yes,56,yes,lawyer,1.0,high,2,sports,sedan
463108,male,yes,59,yes,lawyer,7.0,high,2,sports,sedan
461356,male,no,25,yes,entertainment,0.0,low,2,sports,sedan
464570,male,yes,31,yes,doctor,0.0,average,2,sports,sedan
464580,male,no,27,no,artist,8.0,low,4,sports,sedan
465233,male,yes,57,yes,artist,0.0,average,4,sports,truck
459954,male,yes,27,yes,healthcare,8.0,low,2,sports,suv
460219,female,yes,51,yes,entertainment,8.0,average,2,sports,sedan
460877,female,yes,47,no,artist,0.0,average,5,sports,truck
460191,female,no,33,no,healthcare,8.0,low,4,sports,suv
463742,male,yes,56,yes,artist,0.0,average,4,sports,hatchback
463691,female,no,33,no,homemaker,0.0,low,3,sports,truck
463250,female,no,36,yes,doctor,0.0,low,2,sports,suv
463952,male,yes,51,no,artist,4.0,low,3,electric,sedan
461558,male,yes,45,yes,engineer,2.0,average,2,sports,hatchback
465379,male,no,30,no,healthcare,0.0,low,4,sports,hatchback
463814,female,no,26,no,healthcare,6.0,low,3,hybrid,suv
466938,male,yes,63,yes,artist,8.0,low,1,sports,sedan
